"Plot Title: DO_Logger_11"
"#","Date Time, GMT+12:00","DO conc, mg/L (LGR S/N: 21868807, SEN S/N: 21868807, LBL: mg/l)","Temp, °C (LGR S/N: 21868807, SEN S/N: 21868807, LBL: Deg C)","Coupler Attached (LGR S/N: 21868807)","Host Connected (LGR S/N: 21868807)","Stopped (LGR S/N: 21868807)","End Of File (LGR S/N: 21868807)"
1,09/12/24 12:00:00 AM,11.40,11.90,,,,
2,09/12/24 12:15:00 AM,11.36,11.88,,,,
3,09/12/24 12:30:00 AM,11.38,11.84,,,,
4,09/12/24 12:45:00 AM,11.45,11.80,,,,
5,09/12/24 01:00:00 AM,11.43,11.78,,,,
6,09/12/24 01:15:00 AM,11.40,11.76,,,,
7,09/12/24 01:30:00 AM,11.47,11.74,,,,
8,09/12/24 01:45:00 AM,11.48,11.72,,,,
9,09/12/24 02:00:00 AM,11.43,11.70,,,,
10,09/12/24 02:15:00 AM,11.47,11.70,,,,
11,09/12/24 02:30:00 AM,11.48,11.70,,,,
12,09/12/24 02:45:00 AM,11.42,11.70,,,,
13,09/12/24 03:00:00 AM,11.40,11.66,,,,
14,09/12/24 03:15:00 AM,11.36,11.64,,,,
15,09/12/24 03:30:00 AM,11.44,11.62,,,,
16,09/12/24 03:45:00 AM,11.56,11.64,,,,
17,09/12/24 04:00:00 AM,11.56,11.64,,,,
18,09/12/24 04:15:00 AM,11.54,11.62,,,,
19,09/12/24 04:30:00 AM,11.51,11.62,,,,
20,09/12/24 04:45:00 AM,11.51,11.60,,,,
21,09/12/24 05:00:00 AM,11.51,11.56,,,,
22,09/12/24 05:15:00 AM,11.52,11.56,,,,
23,09/12/24 05:30:00 AM,11.47,11.52,,,,
24,09/12/24 05:45:00 AM,11.45,11.50,,,,
25,09/12/24 06:00:00 AM,11.40,11.48,,,,
26,09/12/24 06:15:00 AM,11.34,11.48,,,,
27,09/12/24 06:30:00 AM,11.39,11.48,,,,
28,09/12/24 06:45:00 AM,11.36,11.46,,,,
29,09/12/24 07:00:00 AM,11.31,11.46,,,,
30,09/12/24 07:15:00 AM,11.27,11.50,,,,
31,09/12/24 07:30:00 AM,11.37,11.54,,,,
32,09/12/24 07:45:00 AM,11.40,11.60,,,,
33,09/12/24 08:00:00 AM,11.45,11.68,,,,
34,09/12/24 08:15:00 AM,11.57,11.76,,,,
35,09/12/24 08:30:00 AM,11.40,11.80,,,,
36,09/12/24 08:45:00 AM,11.38,11.86,,,,
37,09/12/24 09:00:00 AM,11.54,11.90,,,,
38,09/12/24 09:15:00 AM,11.71,11.96,,,,
39,09/12/24 09:30:00 AM,11.86,11.98,,,,
40,09/12/24 09:45:00 AM,11.68,12.00,,,,
41,09/12/24 10:00:00 AM,11.77,12.00,,,,
42,09/12/24 10:15:00 AM,11.79,12.00,,,,
43,09/12/24 10:30:00 AM,11.79,12.02,,,,
44,09/12/24 10:45:00 AM,11.75,12.04,,,,
45,09/12/24 11:00:00 AM,11.83,12.06,,,,
46,09/12/24 11:15:00 AM,11.74,12.08,,,,
47,09/12/24 11:30:00 AM,11.75,12.10,,,,
48,09/12/24 11:45:00 AM,11.81,12.12,,,,
49,09/12/24 12:00:00 PM,11.90,12.12,,,,
50,09/12/24 12:15:00 PM,11.97,12.12,,,,
51,09/12/24 12:30:00 PM,12.05,12.12,,,,
52,09/12/24 12:45:00 PM,12.04,12.12,,,,
53,09/12/24 01:00:00 PM,11.97,12.12,,,,
54,09/12/24 01:15:00 PM,12.05,12.10,,,,
55,09/12/24 01:30:00 PM,12.09,12.12,,,,
56,09/12/24 01:45:00 PM,12.07,12.12,,,,
57,09/12/24 02:00:00 PM,12.21,12.14,,,,
58,09/12/24 02:15:00 PM,12.25,12.14,,,,
59,09/12/24 02:30:00 PM,12.31,12.18,,,,
60,09/12/24 02:45:00 PM,12.36,12.20,,,,
61,09/12/24 03:00:00 PM,13.02,12.24,,,,
62,09/12/24 03:15:00 PM,12.85,12.30,,,,
63,09/12/24 03:30:00 PM,13.26,12.38,,,,
64,09/12/24 03:45:00 PM,13.46,12.42,,,,
65,09/12/24 04:00:00 PM,13.20,12.32,,,,
66,09/12/24 04:15:00 PM,12.97,12.24,,,,
67,09/12/24 04:30:00 PM,12.91,12.18,,,,
68,09/12/24 04:45:00 PM,12.73,12.12,,,,
69,09/12/24 05:00:00 PM,12.68,12.20,,,,
70,09/12/24 05:15:00 PM,12.58,12.32,,,,
71,09/12/24 05:30:00 PM,12.44,12.24,,,,
72,09/12/24 05:45:00 PM,12.31,12.16,,,,
73,09/12/24 06:00:00 PM,12.35,12.16,,,,
74,09/12/24 06:15:00 PM,12.31,12.20,,,,
75,09/12/24 06:30:00 PM,12.01,12.20,,,,
76,09/12/24 06:45:00 PM,11.77,12.14,,,,
77,09/12/24 07:00:00 PM,11.83,12.16,,,,
78,09/12/24 07:15:00 PM,12.25,12.18,,,,
79,09/12/24 07:30:00 PM,12.71,12.22,,,,
80,09/12/24 07:45:00 PM,12.89,12.32,,,,
81,09/12/24 08:00:00 PM,12.82,12.36,,,,
82,09/12/24 08:15:00 PM,12.60,12.38,,,,
83,09/12/24 08:30:00 PM,12.35,12.38,,,,
84,09/12/24 08:45:00 PM,12.41,12.34,,,,
85,09/12/24 09:00:00 PM,12.42,12.32,,,,
86,09/12/24 09:15:00 PM,12.39,12.32,,,,
87,09/12/24 09:30:00 PM,12.30,12.34,,,,
88,09/12/24 09:45:00 PM,12.18,12.32,,,,
89,09/12/24 10:00:00 PM,12.14,12.32,,,,
90,09/12/24 10:15:00 PM,12.01,12.32,,,,
91,09/12/24 10:30:00 PM,12.00,12.32,,,,
92,09/12/24 10:45:00 PM,11.97,12.32,,,,
93,09/12/24 11:00:00 PM,11.89,12.30,,,,
94,09/12/24 11:15:00 PM,11.87,12.30,,,,
95,09/12/24 11:30:00 PM,11.71,12.30,,,,
96,09/12/24 11:45:00 PM,11.74,12.30,,,,
97,09/13/24 12:00:00 AM,11.74,12.28,,,,
98,09/13/24 12:15:00 AM,11.72,12.28,,,,
99,09/13/24 12:30:00 AM,11.70,12.24,,,,
100,09/13/24 12:45:00 AM,11.64,12.20,,,,
101,09/13/24 01:00:00 AM,11.48,12.16,,,,
102,09/13/24 01:15:00 AM,11.51,12.14,,,,
103,09/13/24 01:30:00 AM,11.44,12.12,,,,
104,09/13/24 01:45:00 AM,11.30,12.10,,,,
105,09/13/24 02:00:00 AM,11.29,12.08,,,,
106,09/13/24 02:15:00 AM,11.34,12.04,,,,
107,09/13/24 02:30:00 AM,11.42,12.00,,,,
108,09/13/24 02:45:00 AM,11.88,11.98,,,,
109,09/13/24 03:00:00 AM,11.86,11.92,,,,
110,09/13/24 03:15:00 AM,11.87,11.88,,,,
111,09/13/24 03:30:00 AM,11.87,11.86,,,,
112,09/13/24 03:45:00 AM,11.86,11.86,,,,
113,09/13/24 04:00:00 AM,11.81,11.88,,,,
114,09/13/24 04:15:00 AM,11.78,11.88,,,,
115,09/13/24 04:30:00 AM,11.64,11.90,,,,
116,09/13/24 04:45:00 AM,11.57,11.90,,,,
117,09/13/24 05:00:00 AM,11.53,11.90,,,,
118,09/13/24 05:15:00 AM,11.49,11.90,,,,
119,09/13/24 05:30:00 AM,11.56,11.88,,,,
120,09/13/24 05:45:00 AM,11.58,11.86,,,,
121,09/13/24 06:00:00 AM,11.60,11.84,,,,
122,09/13/24 06:15:00 AM,11.56,11.84,,,,
123,09/13/24 06:30:00 AM,11.49,11.84,,,,
124,09/13/24 06:45:00 AM,11.54,11.84,,,,
125,09/13/24 07:00:00 AM,11.48,11.84,,,,
126,09/13/24 07:15:00 AM,11.47,11.86,,,,
127,09/13/24 07:30:00 AM,11.55,11.86,,,,
128,09/13/24 07:45:00 AM,11.56,11.86,,,,
129,09/13/24 08:00:00 AM,11.66,11.90,,,,
130,09/13/24 08:15:00 AM,11.69,11.92,,,,
131,09/13/24 08:30:00 AM,11.88,11.96,,,,
132,09/13/24 08:45:00 AM,11.72,12.00,,,,
133,09/13/24 09:00:00 AM,11.68,12.02,,,,
134,09/13/24 09:15:00 AM,11.78,12.06,,,,
135,09/13/24 09:30:00 AM,11.66,12.10,,,,
136,09/13/24 09:45:00 AM,11.22,12.10,,,,
137,09/13/24 10:00:00 AM,11.26,12.12,,,,
138,09/13/24 10:15:00 AM,11.58,12.12,,,,
139,09/13/24 10:30:00 AM,11.74,12.14,,,,
140,09/13/24 10:45:00 AM,12.08,12.14,,,,
141,09/13/24 11:00:00 AM,12.23,12.14,,,,
142,09/13/24 11:15:00 AM,12.27,12.16,,,,
143,09/13/24 11:30:00 AM,12.26,12.18,,,,
144,09/13/24 11:45:00 AM,12.43,12.18,,,,
145,09/13/24 12:00:00 PM,12.21,12.18,,,,
146,09/13/24 12:15:00 PM,12.19,12.18,,,,
147,09/13/24 12:30:00 PM,12.32,12.18,,,,
