"Plot Title: DO_Logger_14"
"#","Date Time, GMT+13:00","DO conc, mg/L (LGR S/N: 21868851, SEN S/N: 21868851, LBL: mg/l)","Temp, °C (LGR S/N: 21868851, SEN S/N: 21868851, LBL: deg c)","Coupler Attached (LGR S/N: 21868851)","Host Connected (LGR S/N: 21868851)","Stopped (LGR S/N: 21868851)","End Of File (LGR S/N: 21868851)"
1,10/29/24 01:10:00 PM,8.24,16.84,,,,
2,10/29/24 01:25:00 PM,7.64,16.92,,,,
3,10/29/24 01:40:00 PM,7.78,16.92,,,,
4,10/29/24 01:55:00 PM,8.38,16.94,,,,
5,10/29/24 02:10:00 PM,9.75,17.08,,,,
6,10/29/24 02:25:00 PM,10.37,17.20,,,,
7,10/29/24 02:40:00 PM,10.93,17.26,,,,
8,10/29/24 02:55:00 PM,10.91,17.26,,,,
9,10/29/24 03:10:00 PM,10.85,17.30,,,,
10,10/29/24 03:25:00 PM,11.36,17.30,,,,
11,10/29/24 03:40:00 PM,11.14,17.30,,,,
12,10/29/24 03:55:00 PM,11.13,17.30,,,,
13,10/29/24 04:10:00 PM,10.84,17.28,,,,
14,10/29/24 04:25:00 PM,10.78,17.30,,,,
15,10/29/24 04:40:00 PM,10.93,17.40,,,,
16,10/29/24 04:55:00 PM,11.87,17.56,,,,
17,10/29/24 05:10:00 PM,12.72,17.86,,,,
18,10/29/24 05:25:00 PM,13.00,18.26,,,,
19,10/29/24 05:40:00 PM,13.28,18.76,,,,
20,10/29/24 05:55:00 PM,11.12,17.74,,,,
21,10/29/24 06:10:00 PM,11.19,17.46,,,,
22,10/29/24 06:25:00 PM,11.26,17.48,,,,
23,10/29/24 06:40:00 PM,11.69,17.50,,,,
24,10/29/24 06:55:00 PM,11.58,17.48,,,,
25,10/29/24 07:10:00 PM,11.04,17.42,,,,
26,10/29/24 07:25:00 PM,10.82,17.38,,,,
27,10/29/24 07:40:00 PM,10.75,17.36,,,,
28,10/29/24 07:55:00 PM,10.37,17.34,,,,
29,10/29/24 08:10:00 PM,11.54,17.26,,,,
30,10/29/24 08:25:00 PM,11.42,17.30,,,,
31,10/29/24 08:40:00 PM,11.00,17.28,,,,
32,10/29/24 08:55:00 PM,9.91,17.24,,,,
33,10/29/24 09:10:00 PM,9.80,17.16,,,,
34,10/29/24 09:25:00 PM,10.41,17.10,,,,
35,10/29/24 09:40:00 PM,10.63,17.00,,,,
36,10/29/24 09:55:00 PM,10.51,16.92,,,,
37,10/29/24 10:10:00 PM,10.34,16.90,,,,
38,10/29/24 10:25:00 PM,9.95,16.98,,,,
39,10/29/24 10:40:00 PM,10.47,16.96,,,,
40,10/29/24 10:55:00 PM,10.33,16.94,,,,
41,10/29/24 11:10:00 PM,10.36,17.00,,,,
42,10/29/24 11:25:00 PM,10.69,17.10,,,,
43,10/29/24 11:40:00 PM,10.67,17.14,,,,
44,10/29/24 11:55:00 PM,10.80,17.10,,,,
45,10/30/24 12:10:00 AM,10.74,17.12,,,,
46,10/30/24 12:25:00 AM,10.47,17.10,,,,
47,10/30/24 12:40:00 AM,10.54,17.08,,,,
48,10/30/24 12:55:00 AM,10.22,17.00,,,,
49,10/30/24 01:10:00 AM,10.33,17.00,,,,
50,10/30/24 01:25:00 AM,10.24,17.10,,,,
51,10/30/24 01:40:00 AM,10.33,17.10,,,,
52,10/30/24 01:55:00 AM,9.65,17.06,,,,
53,10/30/24 02:10:00 AM,10.04,17.02,,,,
54,10/30/24 02:25:00 AM,9.91,17.06,,,,
55,10/30/24 02:40:00 AM,10.12,17.06,,,,
56,10/30/24 02:55:00 AM,10.00,17.04,,,,
57,10/30/24 03:10:00 AM,10.15,17.04,,,,
58,10/30/24 03:25:00 AM,9.81,16.98,,,,
59,10/30/24 03:40:00 AM,9.65,16.96,,,,
60,10/30/24 03:55:00 AM,9.41,16.92,,,,
61,10/30/24 04:10:00 AM,9.98,16.90,,,,
62,10/30/24 04:25:00 AM,9.49,16.88,,,,
63,10/30/24 04:40:00 AM,9.65,16.82,,,,
64,10/30/24 04:55:00 AM,9.59,16.76,,,,
65,10/30/24 05:10:00 AM,9.56,16.78,,,,
66,10/30/24 05:25:00 AM,9.42,16.74,,,,
67,10/30/24 05:40:00 AM,9.51,16.70,,,,
68,10/30/24 05:55:00 AM,9.41,16.68,,,,
69,10/30/24 06:10:00 AM,9.42,16.70,,,,
70,10/30/24 06:25:00 AM,9.59,16.72,,,,
71,10/30/24 06:40:00 AM,9.43,16.70,,,,
72,10/30/24 06:55:00 AM,9.29,16.58,,,,
73,10/30/24 07:10:00 AM,9.33,16.66,,,,
74,10/30/24 07:25:00 AM,9.84,16.72,,,,
75,10/30/24 07:40:00 AM,9.82,16.76,,,,
76,10/30/24 07:55:00 AM,9.93,16.78,,,,
77,10/30/24 08:10:00 AM,9.85,16.74,,,,
78,10/30/24 08:25:00 AM,9.90,16.72,,,,
79,10/30/24 08:40:00 AM,10.10,16.74,,,,
80,10/30/24 08:55:00 AM,10.18,16.76,,,,
81,10/30/24 09:10:00 AM,10.30,16.82,,,,
82,10/30/24 09:25:00 AM,10.18,16.86,,,,
83,10/30/24 09:40:00 AM,10.13,16.90,,,,
84,10/30/24 09:55:00 AM,10.10,16.96,,,,
85,10/30/24 10:10:00 AM,9.52,17.00,,,,
86,10/30/24 10:25:00 AM,9.26,17.02,,,,
87,10/30/24 10:40:00 AM,9.19,17.00,,,,
88,10/30/24 10:55:00 AM,9.31,16.98,,,,
89,10/30/24 11:10:00 AM,9.10,16.98,,,,
90,10/30/24 11:25:00 AM,9.06,16.96,,,,
91,10/30/24 11:40:00 AM,9.25,17.00,,,,
92,10/30/24 11:55:00 AM,10.02,17.10,,,,
93,10/30/24 12:10:00 PM,10.23,17.12,,,,
94,10/30/24 12:25:00 PM,11.17,17.12,,,,
95,10/30/24 12:40:00 PM,10.41,17.08,,,,
96,10/30/24 12:55:00 PM,10.18,17.10,,,,
97,10/30/24 01:10:00 PM,9.93,17.12,,,,
98,10/30/24 01:25:00 PM,10.30,17.12,,,,
99,10/30/24 01:40:00 PM,9.84,17.10,,,,
100,10/30/24 01:55:00 PM,9.80,17.06,,,,
101,10/30/24 02:10:00 PM,9.57,17.06,,,,
102,10/30/24 02:25:00 PM,9.37,17.08,,,,
103,10/30/24 02:40:00 PM,9.43,17.06,,,,
104,10/30/24 02:55:00 PM,9.37,17.04,,,,
105,10/30/24 03:10:00 PM,9.12,17.00,,,,
106,10/30/24 03:25:00 PM,8.75,17.02,,,,
107,10/30/24 03:40:00 PM,8.74,17.04,,,,
108,10/30/24 03:55:00 PM,9.69,17.06,,,,
109,10/30/24 04:10:00 PM,10.31,17.18,,,,
110,10/30/24 04:25:00 PM,10.54,17.34,,,,
111,10/30/24 04:40:00 PM,10.93,17.38,,,,
112,10/30/24 04:55:00 PM,11.06,17.38,,,,
113,10/30/24 05:10:00 PM,11.87,17.44,,,,
114,10/30/24 05:25:00 PM,11.54,17.50,,,,
115,10/30/24 05:40:00 PM,11.48,17.50,,,,
116,10/30/24 05:55:00 PM,11.98,17.54,,,,
117,10/30/24 06:10:00 PM,11.84,17.60,,,,
118,10/30/24 06:25:00 PM,12.41,17.66,,,,
119,10/30/24 06:40:00 PM,12.17,17.68,,,,
120,10/30/24 06:55:00 PM,12.25,17.66,,,,
121,10/30/24 07:10:00 PM,11.90,17.62,,,,
122,10/30/24 07:25:00 PM,11.92,17.54,,,,
123,10/30/24 07:40:00 PM,11.77,17.48,,,,
124,10/30/24 07:55:00 PM,12.03,17.36,,,,
125,10/30/24 08:10:00 PM,12.11,17.30,,,,
126,10/30/24 08:25:00 PM,11.66,17.18,,,,
127,10/30/24 08:40:00 PM,11.21,17.20,,,,
128,10/30/24 08:55:00 PM,10.64,17.24,,,,
129,10/30/24 09:10:00 PM,10.44,17.24,,,,
130,10/30/24 09:25:00 PM,10.31,17.20,,,,
131,10/30/24 09:40:00 PM,9.29,17.12,,,,
132,10/30/24 09:55:00 PM,9.24,17.02,,,,
133,10/30/24 10:10:00 PM,9.41,17.00,,,,
134,10/30/24 10:25:00 PM,9.08,16.96,,,,
135,10/30/24 10:40:00 PM,9.55,17.02,,,,
136,10/30/24 10:55:00 PM,10.57,17.08,,,,
137,10/30/24 11:10:00 PM,10.50,17.08,,,,
138,10/30/24 11:25:00 PM,9.95,17.04,,,,
139,10/30/24 11:40:00 PM,9.35,17.02,,,,
140,10/30/24 11:55:00 PM,8.92,16.98,,,,
141,10/31/24 12:10:00 AM,9.02,16.96,,,,
142,10/31/24 12:25:00 AM,8.85,16.88,,,,
143,10/31/24 12:40:00 AM,9.97,16.84,,,,
144,10/31/24 12:55:00 AM,9.99,16.84,,,,
145,10/31/24 01:10:00 AM,10.13,16.84,,,,
