"Plot Title: DO_Logger_14"
"#","Date Time, GMT+12:00","DO conc, mg/L (LGR S/N: 21868851, SEN S/N: 21868851, LBL: mg/l)","Temp, °C (LGR S/N: 21868851, SEN S/N: 21868851, LBL: deg c)","Coupler Attached (LGR S/N: 21868851)","Host Connected (LGR S/N: 21868851)","Coupler Detached (LGR S/N: 21868851)","Stopped (LGR S/N: 21868851)","End Of File (LGR S/N: 21868851)"
1,09/12/24 12:00:00 AM,11.45,11.82,,,,,
2,09/12/24 12:15:00 AM,11.65,11.82,,,,,
3,09/12/24 12:30:00 AM,11.36,11.80,,,,,
4,09/12/24 12:45:00 AM,11.50,11.78,,,,,
5,09/12/24 01:00:00 AM,11.44,11.80,,,,,
6,09/12/24 01:15:00 AM,11.22,11.82,,,,,
7,09/12/24 01:30:00 AM,11.33,11.76,,,,,
8,09/12/24 01:45:00 AM,11.24,11.72,,,,,
9,09/12/24 02:00:00 AM,11.30,11.70,,,,,
10,09/12/24 02:15:00 AM,11.42,11.66,,,,,
11,09/12/24 02:30:00 AM,11.40,11.68,,,,,
12,09/12/24 02:45:00 AM,11.22,11.66,,,,,
13,09/12/24 03:00:00 AM,11.13,11.68,,,,,
14,09/12/24 03:15:00 AM,11.35,11.64,,,,,
15,09/12/24 03:30:00 AM,11.58,11.62,,,,,
16,09/12/24 03:45:00 AM,11.44,11.62,,,,,
17,09/12/24 04:00:00 AM,11.23,11.62,,,,,
18,09/12/24 04:15:00 AM,11.43,11.54,,,,,
19,09/12/24 04:30:00 AM,11.32,11.54,,,,,
20,09/12/24 04:45:00 AM,11.15,11.54,,,,,
21,09/12/24 05:00:00 AM,11.03,11.48,,,,,
22,09/12/24 05:15:00 AM,11.21,11.48,,,,,
23,09/12/24 05:30:00 AM,11.25,11.46,,,,,
24,09/12/24 05:45:00 AM,11.14,11.48,,,,,
25,09/12/24 06:00:00 AM,11.02,11.50,,,,,
26,09/12/24 06:15:00 AM,10.93,11.42,,,,,
27,09/12/24 06:30:00 AM,11.17,11.44,,,,,
28,09/12/24 06:45:00 AM,11.10,11.42,,,,,
29,09/12/24 07:00:00 AM,11.04,11.46,,,,,
30,09/12/24 07:15:00 AM,11.09,11.52,,,,,
31,09/12/24 07:30:00 AM,11.09,11.56,,,,,
32,09/12/24 07:45:00 AM,11.08,11.62,,,,,
33,09/12/24 08:00:00 AM,10.86,11.68,,,,,
34,09/12/24 08:15:00 AM,10.88,11.74,,,,,
35,09/12/24 08:30:00 AM,10.79,11.78,,,,,
36,09/12/24 08:45:00 AM,10.48,11.88,,,,,
37,09/12/24 09:00:00 AM,10.24,11.92,,,,,
38,09/12/24 09:15:00 AM,10.80,11.94,,,,,
39,09/12/24 09:30:00 AM,11.01,11.94,,,,,
40,09/12/24 09:45:00 AM,10.98,11.94,,,,,
41,09/12/24 10:00:00 AM,11.11,11.94,,,,,
42,09/12/24 10:15:00 AM,10.86,11.96,,,,,
43,09/12/24 10:30:00 AM,11.36,11.96,,,,,
44,09/12/24 10:45:00 AM,11.36,11.98,,,,,
45,09/12/24 11:00:00 AM,11.35,12.02,,,,,
46,09/12/24 11:15:00 AM,11.33,12.04,,,,,
47,09/12/24 11:30:00 AM,11.33,12.06,,,,,
48,09/12/24 11:45:00 AM,11.32,12.08,,,,,
49,09/12/24 12:00:00 PM,11.39,12.10,,,,,
50,09/12/24 12:15:00 PM,11.51,12.10,,,,,
51,09/12/24 12:30:00 PM,11.48,12.10,,,,,
52,09/12/24 12:45:00 PM,11.48,12.10,,,,,
53,09/12/24 01:00:00 PM,11.36,12.10,,,,,
54,09/12/24 01:15:00 PM,11.43,12.12,,,,,
55,09/12/24 01:30:00 PM,11.53,12.12,,,,,
56,09/12/24 01:45:00 PM,11.63,12.12,,,,,
