"Plot Title: DO_Logger_3"
"#","Date Time, GMT+12:00","DO conc, mg/L (LGR S/N: 20946061, SEN S/N: 20946061, LBL: mg/l)","Temp, °C (LGR S/N: 20946061, SEN S/N: 20946061, LBL: Deg C)","Coupler Attached (LGR S/N: 20946061)","Host Connected (LGR S/N: 20946061)","Stopped (LGR S/N: 20946061)","End Of File (LGR S/N: 20946061)"
1,09/12/24 12:00:00 AM,11.49,11.98,,,,
2,09/12/24 12:15:00 AM,11.41,11.94,,,,
3,09/12/24 12:30:00 AM,11.32,11.92,,,,
4,09/12/24 12:45:00 AM,11.32,11.84,,,,
5,09/12/24 01:00:00 AM,11.34,11.82,,,,
6,09/12/24 01:15:00 AM,11.33,11.82,,,,
7,09/12/24 01:30:00 AM,11.30,11.80,,,,
8,09/12/24 01:45:00 AM,11.28,11.80,,,,
9,09/12/24 02:00:00 AM,11.21,11.78,,,,
10,09/12/24 02:15:00 AM,11.30,11.76,,,,
11,09/12/24 02:30:00 AM,11.26,11.76,,,,
12,09/12/24 02:45:00 AM,11.24,11.74,,,,
13,09/12/24 03:00:00 AM,11.21,11.72,,,,
14,09/12/24 03:15:00 AM,11.06,11.72,,,,
15,09/12/24 03:30:00 AM,11.14,11.70,,,,
16,09/12/24 03:45:00 AM,11.39,11.70,,,,
17,09/12/24 04:00:00 AM,11.31,11.66,,,,
18,09/12/24 04:15:00 AM,11.32,11.66,,,,
19,09/12/24 04:30:00 AM,11.42,11.64,,,,
20,09/12/24 04:45:00 AM,11.47,11.64,,,,
21,09/12/24 05:00:00 AM,11.40,11.62,,,,
22,09/12/24 05:15:00 AM,11.38,11.62,,,,
23,09/12/24 05:30:00 AM,11.35,11.62,,,,
24,09/12/24 05:45:00 AM,11.41,11.60,,,,
25,09/12/24 06:00:00 AM,11.32,11.54,,,,
26,09/12/24 06:15:00 AM,11.28,11.54,,,,
27,09/12/24 06:30:00 AM,11.36,11.54,,,,
28,09/12/24 06:45:00 AM,11.36,11.54,,,,
29,09/12/24 07:00:00 AM,11.41,11.56,,,,
30,09/12/24 07:15:00 AM,11.40,11.58,,,,
31,09/12/24 07:30:00 AM,11.41,11.60,,,,
32,09/12/24 07:45:00 AM,11.48,11.62,,,,
33,09/12/24 08:00:00 AM,11.55,11.66,,,,
34,09/12/24 08:15:00 AM,11.56,11.68,,,,
35,09/12/24 08:30:00 AM,11.52,11.70,,,,
36,09/12/24 08:45:00 AM,11.53,11.74,,,,
37,09/12/24 09:00:00 AM,11.52,11.76,,,,
38,09/12/24 09:15:00 AM,11.52,11.80,,,,
39,09/12/24 09:30:00 AM,11.55,11.82,,,,
40,09/12/24 09:45:00 AM,11.65,11.84,,,,
41,09/12/24 10:00:00 AM,11.83,11.84,,,,
42,09/12/24 10:15:00 AM,11.47,11.84,,,,
43,09/12/24 10:30:00 AM,11.21,11.86,,,,
44,09/12/24 10:45:00 AM,11.30,11.86,,,,
45,09/12/24 11:00:00 AM,11.28,11.88,,,,
46,09/12/24 11:15:00 AM,11.40,11.90,,,,
47,09/12/24 11:30:00 AM,11.32,11.92,,,,
48,09/12/24 11:45:00 AM,11.30,11.92,,,,
49,09/12/24 12:00:00 PM,11.38,11.92,,,,
50,09/12/24 12:15:00 PM,11.56,11.94,,,,
51,09/12/24 12:30:00 PM,11.65,11.94,,,,
52,09/12/24 12:45:00 PM,11.75,11.96,,,,
53,09/12/24 01:00:00 PM,11.79,11.98,,,,
54,09/12/24 01:15:00 PM,11.80,11.98,,,,
55,09/12/24 01:30:00 PM,11.85,11.98,,,,
56,09/12/24 01:45:00 PM,11.90,11.98,,,,
57,09/12/24 02:00:00 PM,11.97,11.98,,,,
58,09/12/24 02:15:00 PM,11.98,11.98,,,,
59,09/12/24 02:30:00 PM,12.02,12.00,,,,
60,09/12/24 02:45:00 PM,12.06,12.00,,,,
61,09/12/24 03:00:00 PM,11.94,12.04,,,,
62,09/12/24 03:15:00 PM,12.05,12.18,,,,
63,09/12/24 03:30:00 PM,12.09,12.26,,,,
64,09/12/24 03:45:00 PM,12.07,12.24,,,,
65,09/12/24 04:00:00 PM,12.22,12.14,,,,
66,09/12/24 04:15:00 PM,12.30,12.06,,,,
67,09/12/24 04:30:00 PM,12.23,12.02,,,,
68,09/12/24 04:45:00 PM,12.17,12.04,,,,
69,09/12/24 05:00:00 PM,12.12,12.22,,,,
70,09/12/24 05:15:00 PM,12.45,12.26,,,,
71,09/12/24 05:30:00 PM,12.42,12.12,,,,
72,09/12/24 05:45:00 PM,12.21,12.04,,,,
73,09/12/24 06:00:00 PM,12.02,12.06,,,,
74,09/12/24 06:15:00 PM,11.83,12.04,,,,
75,09/12/24 06:30:00 PM,11.61,11.98,,,,
76,09/12/24 06:45:00 PM,11.17,11.92,,,,
77,09/12/24 07:00:00 PM,11.31,12.04,,,,
78,09/12/24 07:15:00 PM,12.17,12.14,,,,
79,09/12/24 07:30:00 PM,12.67,12.22,,,,
80,09/12/24 07:45:00 PM,12.91,12.30,,,,
81,09/12/24 08:00:00 PM,12.90,12.30,,,,
82,09/12/24 08:15:00 PM,12.78,12.30,,,,
83,09/12/24 08:30:00 PM,12.51,12.30,,,,
84,09/12/24 08:45:00 PM,12.52,12.30,,,,
85,09/12/24 09:00:00 PM,12.60,12.28,,,,
86,09/12/24 09:15:00 PM,12.53,12.26,,,,
87,09/12/24 09:30:00 PM,12.49,12.18,,,,
88,09/12/24 09:45:00 PM,12.51,12.20,,,,
89,09/12/24 10:00:00 PM,12.50,12.18,,,,
90,09/12/24 10:15:00 PM,12.49,12.20,,,,
91,09/12/24 10:30:00 PM,12.47,12.20,,,,
92,09/12/24 10:45:00 PM,12.47,12.20,,,,
93,09/12/24 11:00:00 PM,12.45,12.20,,,,
94,09/12/24 11:15:00 PM,12.35,12.18,,,,
95,09/12/24 11:30:00 PM,12.23,12.18,,,,
96,09/12/24 11:45:00 PM,12.13,12.14,,,,
97,09/13/24 12:00:00 AM,12.09,12.12,,,,
98,09/13/24 12:15:00 AM,12.09,12.08,,,,
99,09/13/24 12:30:00 AM,12.04,12.04,,,,
100,09/13/24 12:45:00 AM,12.04,12.00,,,,
101,09/13/24 01:00:00 AM,11.99,11.96,,,,
102,09/13/24 01:15:00 AM,11.89,11.94,,,,
103,09/13/24 01:30:00 AM,11.70,11.94,,,,
104,09/13/24 01:45:00 AM,11.62,11.92,,,,
105,09/13/24 02:00:00 AM,11.53,11.90,,,,
106,09/13/24 02:15:00 AM,11.61,11.90,,,,
107,09/13/24 02:30:00 AM,11.58,11.88,,,,
108,09/13/24 02:45:00 AM,11.53,11.88,,,,
109,09/13/24 03:00:00 AM,11.61,11.86,,,,
110,09/13/24 03:15:00 AM,11.63,11.84,,,,
111,09/13/24 03:30:00 AM,11.62,11.84,,,,
112,09/13/24 03:45:00 AM,11.62,11.84,,,,
113,09/13/24 04:00:00 AM,11.55,11.86,,,,
114,09/13/24 04:15:00 AM,11.50,11.84,,,,
115,09/13/24 04:30:00 AM,11.56,11.84,,,,
116,09/13/24 04:45:00 AM,11.53,11.84,,,,
117,09/13/24 05:00:00 AM,11.47,11.86,,,,
118,09/13/24 05:15:00 AM,11.40,11.84,,,,
119,09/13/24 05:30:00 AM,11.38,11.82,,,,
120,09/13/24 05:45:00 AM,11.38,11.82,,,,
121,09/13/24 06:00:00 AM,11.31,11.84,,,,
122,09/13/24 06:15:00 AM,11.33,11.82,,,,
123,09/13/24 06:30:00 AM,11.34,11.82,,,,
124,09/13/24 06:45:00 AM,11.38,11.80,,,,
125,09/13/24 07:00:00 AM,11.30,11.80,,,,
126,09/13/24 07:15:00 AM,11.32,11.80,,,,
127,09/13/24 07:30:00 AM,11.34,11.80,,,,
128,09/13/24 07:45:00 AM,11.35,11.80,,,,
129,09/13/24 08:00:00 AM,11.35,11.82,,,,
130,09/13/24 08:15:00 AM,11.43,11.84,,,,
131,09/13/24 08:30:00 AM,11.52,11.86,,,,
132,09/13/24 08:45:00 AM,11.53,11.90,,,,
133,09/13/24 09:00:00 AM,11.52,11.92,,,,
134,09/13/24 09:15:00 AM,11.57,11.94,,,,
135,09/13/24 09:30:00 AM,11.62,11.98,,,,
136,09/13/24 09:45:00 AM,11.56,12.00,,,,
137,09/13/24 10:00:00 AM,11.50,12.00,,,,
138,09/13/24 10:15:00 AM,11.43,12.02,,,,
139,09/13/24 10:30:00 AM,11.58,12.02,,,,
140,09/13/24 10:45:00 AM,11.83,12.02,,,,
141,09/13/24 11:00:00 AM,11.94,12.04,,,,
142,09/13/24 11:15:00 AM,12.02,12.04,,,,
143,09/13/24 11:30:00 AM,12.23,12.04,,,,
144,09/13/24 11:45:00 AM,12.29,12.06,,,,
145,09/13/24 12:00:00 PM,12.41,12.06,,,,
146,09/13/24 12:15:00 PM,12.43,12.04,,,,
147,09/13/24 12:30:00 PM,12.39,12.04,,,,
148,09/13/24 12:45:00 PM,12.36,12.04,,,,
149,09/13/24 01:00:00 PM,12.31,12.04,,,,
150,09/13/24 01:15:00 PM,12.20,12.04,,,,
151,09/13/24 01:30:00 PM,12.09,12.04,,,,
152,09/13/24 01:45:00 PM,11.99,12.04,,,,
153,09/13/24 02:00:00 PM,11.99,12.02,,,,
154,09/13/24 02:15:00 PM,11.93,12.02,,,,
155,09/13/24 02:30:00 PM,11.84,12.00,,,,
156,09/13/24 02:45:00 PM,11.75,12.00,,,,
157,09/13/24 03:00:00 PM,11.68,12.00,,,,
158,09/13/24 03:15:00 PM,11.57,12.00,,,,
159,09/13/24 03:30:00 PM,11.50,12.00,,,,
160,09/13/24 03:45:00 PM,11.48,12.00,,,,
161,09/13/24 04:00:00 PM,11.49,12.00,,,,
